titre,prix,ville,url
A vendre un appartement S+2 au 3éme étage,395000DT,Sousse,https://www.tayara.tn/item/67d0142befd14d3d051efb6e/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S2_au_3me_tage/
A vendre un appartement S+3 au 1er Etage,455000DT,Sousse,https://www.tayara.tn/item/67d01854efd14d3d051efeb7/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S3_au_1er_Etage/
A vendre un appartement S+2 au RDC,340000DT,Sousse,https://www.tayara.tn/item/67d0031aefd14d3d051eec71/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S2_au_RDC_/
location appartement s2,750DT,Ariana,https://www.tayara.tn/item/680215f3c1f8f57898daf951/Appartements/Ariana/Ariana_Ville/location_appartement_s2/
A vendre duplex s+4 à la Soukra,590000DT,Ariana,https://www.tayara.tn/item/67f39dbefd1c6385be46fbeb/Maisons%20et%20Villas/Ariana/La_Soukra/A_vendre_duplex_s4_la_Soukra_/
Appartement S+3 meublé à louer à El Manar 2,1800DT,Tunis,https://www.tayara.tn/item/680215c9c1f8f57898daf92a/Maisons%20et%20Villas/Tunis/El_Manar_2/Appartement_S3_meubl_louer_El_Manar_2/
Triplex en vente,315000DT,Mahdia,https://www.tayara.tn/item/677b9b3bb7de28167ecf34c7/Maisons%20et%20Villas/Mahdia/Mahdia/Triplex_en_vente/
"App s+3 à louer, El Aagba, Tunis",1200DT,Tunis,https://www.tayara.tn/item/67ff970afd1c6385be50be98/Appartements/Tunis/Agba/App_s3_louer_El_Aagba_Tunis/
Appartement s+2 à Marina avec terrasse,490000DT,Monastir,https://www.tayara.tn/item/6800d530ca3467b14e8127dc/Appartements/Monastir/Monastir/Appartement_s2_Marina_avec_terrasse/
Rituel Bien-Être Et Hammam,220DT,Ariana,https://www.tayara.tn/item/680199a39d6266842d9eb84b/Services/Ariana/El_Menzah_5/Rituel_Bientre_Et_Hammam_/
Etage de villa S+3 à louer au Kram,1200DT,Tunis,https://www.tayara.tn/item/68014848fd1c6385be5213c9/Maisons%20et%20Villas/Tunis/Le_Kram/Etage_de_villa_S3_louer_au_Kram/
Tecnocasa Nouvelle Médina met en #vente une #maison son sur artère principale,390000DT,Ben Arous,https://www.tayara.tn/item/6794aefa6286c24145759de4/Maisons%20et%20Villas/Ben_Arous/Medina_Jedida/Tecnocasa_Nouvelle_Mdina_met_en_vente_une_maison_son_sur_artre_principale/
"Appartement S+2 situé au 2eme étage d'une résidence R+4 avec ascenseur. Cet appartement offre une superficie totale de 100 m², Un salon lumineux et spacieux.",220000DT,Ben Arous,https://www.tayara.tn/item/677f9ee1f39faeaa98cce1ae/Appartements/Ben_Arous/Medina_Jedida/Appartement_S2_situ_au_2eme_tage_dune_rsidence_R4_avec_ascenseur_Cet_appartement_offre_une_superficie_totale_de_100_m_Un_salon_lumineux_et_spacieux/
